Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;Complex_Shape_B;VSUBS;3.2;
C2;Complex_Shape_T;VSUBS;3.2;
C3;Complex_Shape_R;VSUBS;3.2;
C4;Complex_Shape_L;VSUBS;3.2;
C5;UPPER;VSUBS;13.019;
C6;Complex_Shape_B;UPPER;1.348;
C7;Complex_Shape_T;UPPER;0.065;
C8;Complex_Shape_L;UPPER;0.249;
C9;Complex_Shape_R;UPPER;0.089;
