"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_netlist_reduction_1","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","Test","netlist_reducer_test","",""
"","2952","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 15:57:09 GMT 2025","failed","Mon Mar 31 15:57:11 GMT 2025","","rcx25_test","",""
"","2639","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Mon Mar 31 15:56:43 GMT 2025","passed","Mon Mar 31 15:56:46 GMT 2025","","rcx25_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","Test","netlist_json_test","",""
"","32","test_fastcap_parse_capacitance_matrix","Unit Tests","Mon Mar 31 14:30:25 GMT 2025","passed","Mon Mar 31 14:30:25 GMT 2025","Test","fastcap_runner_test","",""
"","0","test_summarize_sidewall","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_summarize_overlap","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","2755","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 15:57:03 GMT 2025","failed","Mon Mar 31 15:57:06 GMT 2025","","rcx25_test","",""
"","0","test_conductance","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","REXTest","resistor_extraction_test","",""
"","2529","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 15:56:53 GMT 2025","failed","Mon Mar 31 15:56:56 GMT 2025","","rcx25_test","",""
"","0","test_normed_descending","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","5104965","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Mon Mar 31 14:31:35 GMT 2025","failed","Mon Mar 31 15:56:40 GMT 2025","","fastercap_test","",""
"","32","test_netlist_expansion","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","Test","netlist_expander_test","",""
"","2535","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Mon Mar 31 15:56:48 GMT 2025","passed","Mon Mar 31 15:56:51 GMT 2025","","rcx25_test","",""
"","2468","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 15:56:40 GMT 2025","passed","Mon Mar 31 15:56:43 GMT 2025","","rcx25_test","",""
"","0","test_rn_eliminate2","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_normed_ascending","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","0","test_parse_csv","Unit Tests","Mon Mar 31 14:30:25 GMT 2025","passed","Mon Mar 31 14:30:25 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_rex_basic","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","REXTest","resistor_extraction_test","",""
"","2557","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Mon Mar 31 15:56:51 GMT 2025","passed","Mon Mar 31 15:56:53 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Mon Mar 31 14:30:26 GMT 2025","passed","Mon Mar 31 14:30:26 GMT 2025","Test","argparse_helpers_test","",""
"","15","test_write_csv","Unit Tests","Mon Mar 31 14:30:25 GMT 2025","passed","Mon Mar 31 14:30:25 GMT 2025","Test","capacitance_matrix_test","",""
"","4354","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 15:57:11 GMT 2025","failed","Mon Mar 31 15:57:16 GMT 2025","","rcx25_test","",""
