"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5496","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Tue Jan 14 17:46:35 GMT 2025","passed","Tue Jan 14 17:46:41 GMT 2025","","rcx25_test","",""
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","fastercap_runner_test","",""
"","16","test_render_enum_help__default__strenum__lowercased","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","argparse_helpers_test","",""
"","5749","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 17:46:57 GMT 2025","passed","Tue Jan 14 17:47:03 GMT 2025","","rcx25_test","",""
"","1063","test_fastercap_model_generator","Unit Tests","Tue Jan 14 17:45:09 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","","fastercap_model_generator_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","argparse_helpers_test","",""
"","31","test_netlist_expansion","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","netlist_expander_test","",""
"","5427","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Tue Jan 14 17:46:41 GMT 2025","failed","Tue Jan 14 17:46:46 GMT 2025","","rcx25_test","",""
"","8040","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Tue Jan 14 17:46:22 GMT 2025","passed","Tue Jan 14 17:46:30 GMT 2025","","rcx25_test","",""
"","16","test_write_csv","Unit Tests","Tue Jan 14 17:45:09 GMT 2025","passed","Tue Jan 14 17:45:09 GMT 2025","Test","capacitance_matrix_test","",""
"","5529","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Tue Jan 14 17:46:46 GMT 2025","failed","Tue Jan 14 17:46:52 GMT 2025","","rcx25_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Tue Jan 14 17:45:09 GMT 2025","passed","Tue Jan 14 17:45:09 GMT 2025","Test","capacitance_matrix_test","",""
"","5846","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 17:47:03 GMT 2025","failed","Tue Jan 14 17:47:09 GMT 2025","","rcx25_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","netlist_reducer_test","",""
"","5249","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 17:46:30 GMT 2025","passed","Tue Jan 14 17:46:35 GMT 2025","","rcx25_test","",""
"","0","test_parse_csv","Unit Tests","Tue Jan 14 17:45:09 GMT 2025","passed","Tue Jan 14 17:45:09 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","argparse_helpers_test","",""
"","5616","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Tue Jan 14 17:46:52 GMT 2025","failed","Tue Jan 14 17:46:57 GMT 2025","","rcx25_test","",""
"","15","test_netlist_reduction_1","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","netlist_reducer_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Tue Jan 14 17:45:10 GMT 2025","passed","Tue Jan 14 17:45:10 GMT 2025","Test","argparse_helpers_test","",""
"","31","test_fastcap_parse_capacitance_matrix","Unit Tests","Tue Jan 14 17:45:09 GMT 2025","passed","Tue Jan 14 17:45:09 GMT 2025","Test","fastcap_runner_test","",""
