"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","netlist_reducer_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_write_csv","Unit Tests","Wed Feb 26 18:26:30 GMT 2025","passed","Wed Feb 26 18:26:30 GMT 2025","Test","capacitance_matrix_test","",""
"","3315","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:46 GMT 2025","failed","Wed Feb 26 19:54:50 GMT 2025","","rcx25_test","",""
"","322","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:26 GMT 2025","passed","Wed Feb 26 19:54:26 GMT 2025","","rcx25_test","",""
"","5206138","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Wed Feb 26 18:27:40 GMT 2025","failed","Wed Feb 26 19:54:26 GMT 2025","","fastercap_test","",""
"","3313","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:36 GMT 2025","failed","Wed Feb 26 19:54:40 GMT 2025","","rcx25_test","",""
"","3416","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:30 GMT 2025","passed","Wed Feb 26 19:54:33 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","argparse_helpers_test","",""
"","1063","test_fastercap_model_generator","Unit Tests","Wed Feb 26 18:26:30 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","","fastercap_model_generator_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","netlist_reducer_test","",""
"","15","test_fastercap_parse_capacitance_matrix","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","fastercap_runner_test","",""
"","32","test_netlist_expansion","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","netlist_expander_test","",""
"","3315","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:33 GMT 2025","failed","Wed Feb 26 19:54:36 GMT 2025","","rcx25_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Wed Feb 26 18:26:30 GMT 2025","passed","Wed Feb 26 18:26:30 GMT 2025","Test","capacitance_matrix_test","",""
"","3300","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:40 GMT 2025","failed","Wed Feb 26 19:54:43 GMT 2025","","rcx25_test","",""
"","3303","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:26 GMT 2025","passed","Wed Feb 26 19:54:30 GMT 2025","","rcx25_test","",""
"","0","test_parse_csv","Unit Tests","Wed Feb 26 18:26:30 GMT 2025","passed","Wed Feb 26 18:26:30 GMT 2025","Test","capacitance_matrix_test","",""
"","3330","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Wed Feb 26 19:54:43 GMT 2025","passed","Wed Feb 26 19:54:46 GMT 2025","","rcx25_test","",""
"","16","test_fastcap_parse_capacitance_matrix","Unit Tests","Wed Feb 26 18:26:30 GMT 2025","passed","Wed Feb 26 18:26:30 GMT 2025","Test","fastcap_runner_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Wed Feb 26 18:26:31 GMT 2025","passed","Wed Feb 26 18:26:31 GMT 2025","Test","argparse_helpers_test","",""
