"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2776","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:48 GMT 2025","failed","Mon Mar 31 19:35:51 GMT 2025","","rcx25_test","",""
"","4381","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:57 GMT 2025","failed","Mon Mar 31 19:36:01 GMT 2025","","rcx25_test","",""
"","0","test_normed_descending","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","0","test_summarize_sidewall","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_rn_eliminate","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","Test","argparse_helpers_test","",""
"","32","test_fastcap_parse_capacitance_matrix","Unit Tests","Mon Mar 31 18:08:33 GMT 2025","passed","Mon Mar 31 18:08:33 GMT 2025","Test","fastcap_runner_test","",""
"","2661","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:28 GMT 2025","passed","Mon Mar 31 19:35:31 GMT 2025","","rcx25_test","",""
"","5148342","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Mon Mar 31 18:09:37 GMT 2025","failed","Mon Mar 31 19:35:25 GMT 2025","","fastercap_test","",""
"","2538","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:25 GMT 2025","passed","Mon Mar 31 19:35:28 GMT 2025","","rcx25_test","",""
"","0","test_conductance","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","REXTest","resistor_extraction_test","",""
"","2565","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:46 GMT 2025","passed","Mon Mar 31 19:35:48 GMT 2025","","rcx25_test","",""
"","16","test_netlist_reduction_1","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","Test","netlist_json_test","",""
"","2575","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:38 GMT 2025","failed","Mon Mar 31 19:35:41 GMT 2025","","rcx25_test","",""
"","2618","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:51 GMT 2025","passed","Mon Mar 31 19:35:54 GMT 2025","","rcx25_test","",""
"","2961","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:54 GMT 2025","failed","Mon Mar 31 19:35:57 GMT 2025","","rcx25_test","",""
"","1078","test_fastercap_model_generator","Unit Tests","Mon Mar 31 18:08:33 GMT 2025","passed","Mon Mar 31 18:08:34 GMT 2025","","fastercap_model_generator_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_summarize_overlap","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_write_csv","Unit Tests","Mon Mar 31 18:08:33 GMT 2025","passed","Mon Mar 31 18:08:33 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_expand_skinny_tris","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","REXTest","resistor_extraction_test","",""
"","2540","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:43 GMT 2025","passed","Mon Mar 31 19:35:46 GMT 2025","","rcx25_test","",""
"","2517","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:31 GMT 2025","passed","Mon Mar 31 19:35:33 GMT 2025","","rcx25_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","Test","netlist_reducer_test","",""
"","2572","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:36 GMT 2025","passed","Mon Mar 31 19:35:38 GMT 2025","","rcx25_test","",""
"","2518","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Mon Mar 31 19:35:33 GMT 2025","passed","Mon Mar 31 19:35:36 GMT 2025","","rcx25_test","",""
"","32","test_extraction","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Mon Mar 31 18:08:35 GMT 2025","passed","Mon Mar 31 18:08:35 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
