"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","argparse_helpers_test","",""
"","2820","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Wed May 21 15:36:49 GMT 2025","passed","Wed May 21 15:36:52 GMT 2025","","rcx25_test","",""
"","6","test_rn_eliminate2","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","REXTest","resistor_extraction_test","",""
"","23","test_netlist_expansion","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","netlist_expander_test","",""
"","2470","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Wed May 21 15:36:32 GMT 2025","passed","Wed May 21 15:36:34 GMT 2025","","rcx25_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","fastercap_runner_test","",""
"","2689","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Wed May 21 15:36:44 GMT 2025","passed","Wed May 21 15:36:47 GMT 2025","","rcx25_test","",""
"","1","test_render_enum_help__default__strenum","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","argparse_helpers_test","",""
"","11","test_netlist_reduction_2","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","netlist_json_test","",""
"","28","test_fastcap_parse_capacitance_matrix","Unit Tests","Wed May 21 15:34:48 GMT 2025","passed","Wed May 21 15:34:48 GMT 2025","Test","fastcap_runner_test","",""
"","2419","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Wed May 21 15:36:27 GMT 2025","passed","Wed May 21 15:36:29 GMT 2025","","rcx25_test","",""
"","1","test_render_enum_help__nodefault__intenum","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","argparse_helpers_test","",""
"","2438","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Wed May 21 15:36:22 GMT 2025","passed","Wed May 21 15:36:24 GMT 2025","","rcx25_test","",""
"","1","test_rn_eliminate","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_expand_skinny_tris","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","REXTest","resistor_extraction_test","",""
"","1063","test_fastercap_model_generator","Unit Tests","Wed May 21 15:34:48 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","","fastercap_model_generator_test","",""
"","1","test_netlist_reduction_1","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","netlist_reducer_test","",""
"","0","test_summarize_sidewall","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","argparse_helpers_test","",""
"","2510","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Wed May 21 15:36:47 GMT 2025","passed","Wed May 21 15:36:49 GMT 2025","","rcx25_test","",""
"","4","test_netlist_reduction_1","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","netlist_json_test","",""
"","0","test_rex_basic","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","REXTest","resistor_extraction_test","",""
"","2553","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Wed May 21 15:36:24 GMT 2025","passed","Wed May 21 15:36:27 GMT 2025","","rcx25_test","",""
"","0","test_normed_descending","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","2438","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Wed May 21 15:36:29 GMT 2025","passed","Wed May 21 15:36:32 GMT 2025","","rcx25_test","",""
"","2449","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Wed May 21 15:36:34 GMT 2025","passed","Wed May 21 15:36:37 GMT 2025","","rcx25_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Wed May 21 15:34:49 GMT 2025","passed","Wed May 21 15:34:49 GMT 2025","Test","netlist_reducer_test","",""
"","4142","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Wed May 21 15:36:52 GMT 2025","passed","Wed May 21 15:36:56 GMT 2025","","rcx25_test","",""
