"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5762","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:40 GMT 2024","failed","Tue Dec 17 17:23:46 GMT 2024","","rcx25_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","netlist_reducer_test","",""
"","9357","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Tue Dec 17 17:23:08 GMT 2024","broken","Tue Dec 17 17:23:17 GMT 2024","","fastercap_test","",""
"","1094","test_fastercap_model_generator","Unit Tests","Tue Dec 17 17:21:47 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","","fastercap_model_generator_test","",""
"","16","test_render_enum_help__default__strenum","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","argparse_helpers_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","argparse_helpers_test","",""
"","353","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:17 GMT 2024","passed","Tue Dec 17 17:23:18 GMT 2024","","rcx25_test","",""
"","0","test_parse_csv","Unit Tests","Tue Dec 17 17:21:47 GMT 2024","passed","Tue Dec 17 17:21:47 GMT 2024","Test","capacitance_matrix_test","",""
"","5938","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:52 GMT 2024","failed","Tue Dec 17 17:23:58 GMT 2024","","rcx25_test","",""
"","5628","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:23 GMT 2024","passed","Tue Dec 17 17:23:29 GMT 2024","","rcx25_test","",""
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","fastercap_runner_test","",""
"","15","test_write_csv","Unit Tests","Tue Dec 17 17:21:47 GMT 2024","passed","Tue Dec 17 17:21:47 GMT 2024","Test","capacitance_matrix_test","",""
"","5367","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:18 GMT 2024","passed","Tue Dec 17 17:23:23 GMT 2024","","rcx25_test","",""
"","32","test_netlist_expansion","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","netlist_expander_test","",""
"","5530","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:29 GMT 2024","failed","Tue Dec 17 17:23:34 GMT 2024","","rcx25_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Tue Dec 17 17:21:47 GMT 2024","passed","Tue Dec 17 17:21:47 GMT 2024","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","argparse_helpers_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","netlist_reducer_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Tue Dec 17 17:21:48 GMT 2024","passed","Tue Dec 17 17:21:48 GMT 2024","Test","argparse_helpers_test","",""
"","5854","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:46 GMT 2024","passed","Tue Dec 17 17:23:52 GMT 2024","","rcx25_test","",""
"","5610","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Tue Dec 17 17:23:34 GMT 2024","failed","Tue Dec 17 17:23:40 GMT 2024","","rcx25_test","",""
"","32","test_fastcap_parse_capacitance_matrix","Unit Tests","Tue Dec 17 17:21:47 GMT 2024","passed","Tue Dec 17 17:21:47 GMT 2024","Test","fastcap_runner_test","",""
