"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","test_netlist_expansion","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","netlist_expander_test","",""
"","1","test_render_enum_help__default__strenum__lowercased","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","argparse_helpers_test","",""
"","266","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:21 GMT 2025","broken","Thu Mar 20 12:02:21 GMT 2025","","rcx25_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","fastercap_runner_test","",""
"","277","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:18 GMT 2025","broken","Thu Mar 20 12:02:19 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","argparse_helpers_test","",""
"","1","test_netlist_reduction_1","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","netlist_reducer_test","",""
"","278","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:20 GMT 2025","broken","Thu Mar 20 12:02:20 GMT 2025","","rcx25_test","",""
"","1","test_averaged_off_diagonals","Unit Tests","Thu Mar 20 12:00:49 GMT 2025","passed","Thu Mar 20 12:00:49 GMT 2025","Test","capacitance_matrix_test","",""
"","285","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:21 GMT 2025","broken","Thu Mar 20 12:02:21 GMT 2025","","rcx25_test","",""
"","1","test_netlist_reduction_2","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","netlist_reducer_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","argparse_helpers_test","",""
"","278","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:19 GMT 2025","broken","Thu Mar 20 12:02:19 GMT 2025","","rcx25_test","",""
"","0","test_write_csv","Unit Tests","Thu Mar 20 12:00:49 GMT 2025","passed","Thu Mar 20 12:00:49 GMT 2025","Test","capacitance_matrix_test","",""
"","27","test_fastcap_parse_capacitance_matrix","Unit Tests","Thu Mar 20 12:00:49 GMT 2025","passed","Thu Mar 20 12:00:49 GMT 2025","Test","fastcap_runner_test","",""
"","1223","test_fastercap_model_generator","Unit Tests","Thu Mar 20 12:00:49 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","","fastercap_model_generator_test","",""
"","312","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Thu Mar 20 12:02:18 GMT 2025","broken","Thu Mar 20 12:02:18 GMT 2025","","fastercap_test","",""
"","1","test_render_enum_help__default__strenum","Unit Tests","Thu Mar 20 12:00:50 GMT 2025","passed","Thu Mar 20 12:00:50 GMT 2025","Test","argparse_helpers_test","",""
"","312","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:19 GMT 2025","broken","Thu Mar 20 12:02:20 GMT 2025","","rcx25_test","",""
"","278","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:20 GMT 2025","broken","Thu Mar 20 12:02:20 GMT 2025","","rcx25_test","",""
"","1","test_parse_csv","Unit Tests","Thu Mar 20 12:00:49 GMT 2025","passed","Thu Mar 20 12:00:49 GMT 2025","Test","capacitance_matrix_test","",""
"","282","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Thu Mar 20 12:02:22 GMT 2025","broken","Thu Mar 20 12:02:22 GMT 2025","","rcx25_test","",""
