"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","fastercap_runner_test","",""
"","5931","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Wed Jan 15 17:22:32 GMT 2025","failed","Wed Jan 15 17:22:38 GMT 2025","","rcx25_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","netlist_reducer_test","",""
"","5309","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Wed Jan 15 17:21:58 GMT 2025","passed","Wed Jan 15 17:22:04 GMT 2025","","rcx25_test","",""
"","5658","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Wed Jan 15 17:22:15 GMT 2025","failed","Wed Jan 15 17:22:20 GMT 2025","","rcx25_test","",""
"","5558","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Wed Jan 15 17:22:09 GMT 2025","failed","Wed Jan 15 17:22:15 GMT 2025","","rcx25_test","",""
"","15","test_render_enum_help__default__intenum","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","argparse_helpers_test","",""
"","31","test_fastcap_parse_capacitance_matrix","Unit Tests","Wed Jan 15 15:54:46 GMT 2025","passed","Wed Jan 15 15:54:46 GMT 2025","Test","fastcap_runner_test","",""
"","5877","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Wed Jan 15 17:22:26 GMT 2025","passed","Wed Jan 15 17:22:32 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_write_csv","Unit Tests","Wed Jan 15 15:54:46 GMT 2025","passed","Wed Jan 15 15:54:46 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Wed Jan 15 15:54:46 GMT 2025","passed","Wed Jan 15 15:54:46 GMT 2025","Test","capacitance_matrix_test","",""
"","5716","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Wed Jan 15 17:22:20 GMT 2025","failed","Wed Jan 15 17:22:26 GMT 2025","","rcx25_test","",""
"","0","test_parse_csv","Unit Tests","Wed Jan 15 15:54:46 GMT 2025","passed","Wed Jan 15 15:54:46 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","argparse_helpers_test","",""
"","1079","test_fastercap_model_generator","Unit Tests","Wed Jan 15 15:54:46 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","","fastercap_model_generator_test","",""
"","330","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Wed Jan 15 17:21:58 GMT 2025","passed","Wed Jan 15 17:21:58 GMT 2025","","rcx25_test","",""
"","5606","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Wed Jan 15 17:22:04 GMT 2025","passed","Wed Jan 15 17:22:09 GMT 2025","","rcx25_test","",""
"","31","test_netlist_expansion","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","netlist_expander_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Wed Jan 15 15:54:47 GMT 2025","passed","Wed Jan 15 15:54:47 GMT 2025","Test","netlist_reducer_test","",""
"","5161704","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Wed Jan 15 15:55:56 GMT 2025","failed","Wed Jan 15 17:21:58 GMT 2025","","fastercap_test","",""
