"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","test_netlist_expansion","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","netlist_expander_test","",""
"","16","test_netlist_reduction_1","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","netlist_reducer_test","",""
"","5402","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:21 GMT 2025","passed","Thu Jan 16 21:24:27 GMT 2025","","rcx25_test","",""
"","0","test_write_csv","Unit Tests","Thu Jan 16 19:57:02 GMT 2025","passed","Thu Jan 16 19:57:02 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Thu Jan 16 19:57:02 GMT 2025","passed","Thu Jan 16 19:57:02 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","netlist_reducer_test","",""
"","5253","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:16 GMT 2025","passed","Thu Jan 16 21:24:21 GMT 2025","","rcx25_test","",""
"","32","test_fastcap_parse_capacitance_matrix","Unit Tests","Thu Jan 16 19:57:02 GMT 2025","passed","Thu Jan 16 19:57:02 GMT 2025","Test","fastcap_runner_test","",""
"","5745","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:43 GMT 2025","passed","Thu Jan 16 21:24:49 GMT 2025","","rcx25_test","",""
"","5158919","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Thu Jan 16 19:58:17 GMT 2025","failed","Thu Jan 16 21:24:16 GMT 2025","","fastercap_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_parse_csv","Unit Tests","Thu Jan 16 19:57:02 GMT 2025","passed","Thu Jan 16 19:57:02 GMT 2025","Test","capacitance_matrix_test","",""
"","5580","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:38 GMT 2025","failed","Thu Jan 16 21:24:43 GMT 2025","","rcx25_test","",""
"","5423","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:27 GMT 2025","failed","Thu Jan 16 21:24:32 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","argparse_helpers_test","",""
"","5536","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:32 GMT 2025","failed","Thu Jan 16 21:24:38 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","argparse_helpers_test","",""
"","5779","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:49 GMT 2025","failed","Thu Jan 16 21:24:55 GMT 2025","","rcx25_test","",""
"","1063","test_fastercap_model_generator","Unit Tests","Thu Jan 16 19:57:02 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","","fastercap_model_generator_test","",""
"","323","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Thu Jan 16 21:24:16 GMT 2025","passed","Thu Jan 16 21:24:16 GMT 2025","","rcx25_test","",""
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Thu Jan 16 19:57:04 GMT 2025","passed","Thu Jan 16 19:57:04 GMT 2025","Test","fastercap_runner_test","",""
