"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_render_enum_help__default__strenum","Unit Tests","Tue Mar 25 14:16:24 GMT 2025","passed","Tue Mar 25 14:16:24 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Tue Mar 25 14:16:24 GMT 2025","passed","Tue Mar 25 14:16:24 GMT 2025","Test","argparse_helpers_test","",""
"","3363","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Tue Mar 25 15:43:19 GMT 2025","failed","Tue Mar 25 15:43:23 GMT 2025","","rcx25_test","",""
"","15","test_rn_eliminate2","Unit Tests","Tue Mar 25 14:16:24 GMT 2025","passed","Tue Mar 25 14:16:24 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Tue Mar 25 14:16:23 GMT 2025","passed","Tue Mar 25 14:16:23 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_conductance","Unit Tests","Tue Mar 25 14:16:24 GMT 2025","passed","Tue Mar 25 14:16:24 GMT 2025","REXTest","resistor_extraction_test","",""
"","32","test_fastcap_parse_capacitance_matrix","Unit Tests","Tue Mar 25 14:16:23 GMT 2025","passed","Tue Mar 25 14:16:23 GMT 2025","Test","fastcap_runner_test","",""
"","0","test_normed_ascending","Unit Tests","Tue Mar 25 14:16:24 GMT 2025","passed","Tue Mar 25 14:16:24 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","31","test_netlist_expansion","Unit Tests","Tue Mar 25 14:16:24 GMT 2025","passed","Tue Mar 25 14:16:24 GMT 2025","Test","netlist_expander_test","",""
"","3411","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Tue Mar 25 15:43:23 GMT 2025","failed","Tue Mar 25 15:43:26 GMT 2025","","rcx25_test","",""
"","0","test_write_csv","Unit Tests","Tue Mar 25 14:16:23 GMT 2025","passed","Tue Mar 25 14:16:23 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_normed_descending","Unit Tests","Tue Mar 25 14:16:24 GMT 2025","passed","Tue Mar 25 14:16:24 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
