"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5244","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Fri Jan 31 20:24:36 GMT 2025","passed","Fri Jan 31 20:24:41 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","argparse_helpers_test","",""
"","325","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Fri Jan 31 20:24:36 GMT 2025","passed","Fri Jan 31 20:24:36 GMT 2025","","rcx25_test","",""
"","5114412","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Fri Jan 31 18:59:21 GMT 2025","failed","Fri Jan 31 20:24:36 GMT 2025","","fastercap_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","argparse_helpers_test","",""
"","5447","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Fri Jan 31 20:24:41 GMT 2025","passed","Fri Jan 31 20:24:47 GMT 2025","","rcx25_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Fri Jan 31 18:58:23 GMT 2025","passed","Fri Jan 31 18:58:23 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","argparse_helpers_test","",""
"","31","test_netlist_expansion","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","netlist_expander_test","",""
"","0","test_parse_csv","Unit Tests","Fri Jan 31 18:58:23 GMT 2025","passed","Fri Jan 31 18:58:23 GMT 2025","Test","capacitance_matrix_test","",""
"","5457","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Fri Jan 31 20:24:47 GMT 2025","failed","Fri Jan 31 20:24:52 GMT 2025","","rcx25_test","",""
"","1063","test_fastercap_model_generator","Unit Tests","Fri Jan 31 18:58:23 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","","fastercap_model_generator_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","netlist_reducer_test","",""
"","5770","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Fri Jan 31 20:25:03 GMT 2025","passed","Fri Jan 31 20:25:09 GMT 2025","","rcx25_test","",""
"","5874","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Fri Jan 31 20:25:09 GMT 2025","failed","Fri Jan 31 20:25:15 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_write_csv","Unit Tests","Fri Jan 31 18:58:23 GMT 2025","passed","Fri Jan 31 18:58:23 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","fastercap_runner_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Fri Jan 31 18:58:24 GMT 2025","passed","Fri Jan 31 18:58:24 GMT 2025","Test","netlist_reducer_test","",""
"","5534","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Fri Jan 31 20:24:52 GMT 2025","failed","Fri Jan 31 20:24:58 GMT 2025","","rcx25_test","",""
"","5613","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Fri Jan 31 20:24:58 GMT 2025","failed","Fri Jan 31 20:25:03 GMT 2025","","rcx25_test","",""
"","31","test_fastcap_parse_capacitance_matrix","Unit Tests","Fri Jan 31 18:58:23 GMT 2025","passed","Fri Jan 31 18:58:23 GMT 2025","Test","fastcap_runner_test","",""
