"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","argparse_helpers_test","",""
"","1815","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:11 GMT 2025","broken","Thu Jan 16 16:34:13 GMT 2025","","rcx25_test","",""
"","0","test_parse_csv","Unit Tests","Thu Jan 16 16:33:00 GMT 2025","passed","Thu Jan 16 16:33:00 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","netlist_reducer_test","",""
"","1064","test_fastercap_model_generator","Unit Tests","Thu Jan 16 16:33:00 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","","fastercap_model_generator_test","",""
"","1818","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:07 GMT 2025","broken","Thu Jan 16 16:34:09 GMT 2025","","rcx25_test","",""
"","1824","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:01 GMT 2025","broken","Thu Jan 16 16:34:03 GMT 2025","","rcx25_test","",""
"","31","test_netlist_expansion","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","netlist_expander_test","",""
"","1827","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:15 GMT 2025","broken","Thu Jan 16 16:34:17 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","argparse_helpers_test","",""
"","1855","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:05 GMT 2025","broken","Thu Jan 16 16:34:07 GMT 2025","","rcx25_test","",""
"","31","test_fastcap_parse_capacitance_matrix","Unit Tests","Thu Jan 16 16:33:00 GMT 2025","passed","Thu Jan 16 16:33:00 GMT 2025","Test","fastcap_runner_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_write_csv","Unit Tests","Thu Jan 16 16:33:00 GMT 2025","passed","Thu Jan 16 16:33:00 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_fastercap_parse_capacitance_matrix","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","fastercap_runner_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Thu Jan 16 16:33:01 GMT 2025","passed","Thu Jan 16 16:33:01 GMT 2025","Test","netlist_reducer_test","",""
"","2609","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Thu Jan 16 16:33:58 GMT 2025","broken","Thu Jan 16 16:34:01 GMT 2025","","fastercap_test","",""
"","1837","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:09 GMT 2025","broken","Thu Jan 16 16:34:11 GMT 2025","","rcx25_test","",""
"","1821","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:03 GMT 2025","broken","Thu Jan 16 16:34:05 GMT 2025","","rcx25_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Thu Jan 16 16:33:00 GMT 2025","passed","Thu Jan 16 16:33:00 GMT 2025","Test","capacitance_matrix_test","",""
"","1832","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Thu Jan 16 16:34:13 GMT 2025","broken","Thu Jan 16 16:34:15 GMT 2025","","rcx25_test","",""
