"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_normed_descending","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","2727","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:09 GMT 2025","passed","Thu Jul 10 13:16:11 GMT 2025","","rcx25_test","",""
"","31","test_netlist_expansion","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","Test","netlist_expander_test","",""
"","15","test_netlist_reduction_2","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","Test","netlist_json_test","",""
"","14","test_rn_eliminate2","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_normed_ascending","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","NetCoupleKeyTest","extraction_results_test","",""
"","0","test_rn_eliminate","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","REXTest","resistor_extraction_test","",""
"","33","test_extraction","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_averaged_off_diagonals","Unit Tests","Thu Jul 10 13:14:20 GMT 2025","passed","Thu Jul 10 13:14:20 GMT 2025","Test","capacitance_matrix_test","",""
"","970","test_fastercap_model_generator","Unit Tests","Thu Jul 10 13:14:20 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","","fastercap_model_generator_test","",""
"","2587","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:06 GMT 2025","passed","Thu Jul 10 13:16:09 GMT 2025","","rcx25_test","",""
"","0","test_expand_skinny_tris","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","REXTest","resistor_extraction_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_conductance","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","REXTest","resistor_extraction_test","",""
"","3030","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:35 GMT 2025","passed","Thu Jul 10 13:16:38 GMT 2025","","rcx25_test","",""
"","2632","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:32 GMT 2025","passed","Thu Jul 10 13:16:35 GMT 2025","","rcx25_test","",""
"","4333","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:38 GMT 2025","passed","Thu Jul 10 13:16:42 GMT 2025","","rcx25_test","",""
"","2783","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:29 GMT 2025","passed","Thu Jul 10 13:16:32 GMT 2025","","rcx25_test","",""
"","0","test_netlist_reduction_1","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","Test","netlist_reducer_test","",""
"","0","test_rex_basic","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","REXTest","resistor_extraction_test","",""
"","16","test_summarize_sideoverlap","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","331","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:06 GMT 2025","passed","Thu Jul 10 13:16:06 GMT 2025","","rcx25_test","",""
"","2560","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:11 GMT 2025","passed","Thu Jul 10 13:16:14 GMT 2025","","rcx25_test","",""
"","2524","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Thu Jul 10 13:16:14 GMT 2025","passed","Thu Jul 10 13:16:16 GMT 2025","","rcx25_test","",""
"","0","test_summarize_overlap","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","CellExtractionResultsTest","extraction_results_test","",""
"","0","test_netlist_reduction_2","Unit Tests","Thu Jul 10 13:14:21 GMT 2025","passed","Thu Jul 10 13:14:21 GMT 2025","Test","netlist_reducer_test","",""
