Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;VSUBS;li1;11.793;
C2;VSUBS;met1;57.99;
C3;VSUBS;met2;5.291;
C4;li1;met1;15.71;
C5;li1;met2;0.152;
C6;met1;met2;257.488;
